1010 AAAAABBBBAAAA
0000101111011100111101011100101110010100100000111111010000100010111100110101000100001000000110101111011011001000010110111100110 AAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAAAAABBBBAAABBBBBBAAAAAAAAAAAAAAAAAAAAAABBBBBBBAAAAABAAAAAAAAAAABBBBAAAAAAAAAAAAAABBBBBBBAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBAAAAAAAAAAAABBBBBAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBBBBAAAAAAAAAABBAAAAABBBBAAABBBAAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBAAAAAAAAAAAABBAAAABBBBBBBBAAAAAAAAAAAAABBBBAAAAAAAAAAABBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBAAAAAAAAAAAAAABBBAAA
000010100010101101100101000110010000001100000100001001111011010 AAABABAAAAABBABBBAABBABBBBBABABBBBBBAAAABAABAAABBBBBAABAAAAABBAAAAAAAAABBBAABABBAABBBBBAABBABABBABABAABBAAAABBABAABBBBABBAABBBABBBBABBAAABB
1001100111110011010011100000000000100000 BAAAAABABABAABAAABBABBBBABABAAAAABAABBAABBBABBBBBBBAABABAABBABAAAABBBBAAABBAABA
000110000001011101 AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBAAAAAAAAAAAAAAAAAAAA
0001000101000110100000111010011110111111011010100001010011000100010111 AAAAAAAAAAABBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBAAAAAAAAAAAAAAAAAAAABBBBBAAABBAAAAAAAAABBBBBBBBBBBBBAAAAAAAAAAABBBBBBBBBAAAAAABBBAAAAAAAAAAAABBAAAAAAAAAABBBBBAABBBBBAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAABBB
00110 AAAABBAA
10 BBBBBAAAAAAA
0011001000101000111110110111110100111110011111011100101100000011110011 BBBABAABABBAABAABABBABBABABABAABABABAAABBAAABABAABBAABAAABAAAAABAABBAABAABABAAABAABBAAAABBAABABABABABBBBBBBAABBAAAAAABBABA
011101111111110010110101000100101000010110110000001010001111101001011011001010000001011101101100101010100 AAABBBBBBAAAABBBBBBBBBBAABBAAAAAAAAAAAAABBAAAAAAAABBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBAAAABBBBBAAABBBBAAAAAAAAAAAAAABBBBBBBABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAAAABBBBBBBAAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBAAABBBAAAAAAAAABBAAAAAAABAAAAAABBBAAAAAAAAAABBBBBBAAABAAAAAAAA
100100101111110011001001100110000011010111111101 BBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBAAAAAABBBBBBBAAAAAAABBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBBBBBAAAAAAAAAAAAAAAAAAAABBBBABBAAAAAABBBBBBBBAAAAAAAAAAABBBBBB
11011001111010100001110111101010100000000001010010111110001011111001000001000000100110010100001010001011111010001010111110 ABBBBAAAAABBBBAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAABBBBBBBBAABBBBBAAAABBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAAAABBBBBBAAAAAAAAAAAAABBBBBBBBBBAAAAAAAAAAAAAAAAAABBBBAAAAAAABBBBBBAABBBBAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAABBBBBAAAAAAABBBBBBAAAAAAAAAAAAAAAAAAAAABBBBAABBAAAAAAAAAAAAAAABBBBBBAAAAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBAAAAAAAAAAAAAAAAAAAAA
1 B
0 A
00000001111 BBABABABBBAABABBBAAABBABBABB
0000 AAAA
00000000100011110101111011011001100010000101100010001000101000010100011100001001000100100001110010110100001010111111011110000000101 BBBBABBBBAABABAAAAAABBBABABABAAABABBABBBABBBAABAABBBBAABBAABABABAABABABABBBAABBBBBBABABABBBABAABBABABBBBAAABAABBBABBAABABBBABBBABBBBAAAABBAAABBAABBABABA
01110101001000111101001001110100101100110100010100110111110001111011000011101111010100011011100010111110110000011001101111010111000 AAAABBAAAAAABBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBBBAAAAAAAAAAAABBBAAAAAABBBAAAAAABBBBBBAAAAAAAAAAAAAAAAAAAAAAAAABBAAAAAAAAAAAAAABBBBAAABBAAAAAAAAAAAABBBAABAAAAAAAAAAAABBAAAAAAAAABBBBBBAAAAAAAAAAAAAAAABBBBBAABBBBBBAAAAAABBBBBBBAAAAAAAAAAAAAABBBBBABBBBAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAAABBBBAAAAAAAAAAAAAAAAAAAAABBBBBBBBBBAAAAAAAABAAAAAAAABBBBAAAAAAAAABBBBABBBBBBAAAAAAAAAAAAAAAAAAA
1100100011101 BAABBBBAABBBAABA
01001 ABBBAB
0000010110110101000100001101101010110001101001001101100101001100110101000000000010010011000000010111110011 AAABBBBABBBBAAABABBBAAAABBBBBABBABBBBBABAAAAAAAABAAAABBBBABAAAAABAABBBABBAAAABBBAABBBBBBAAAAAAAAAABAABABBBBBBABBBAABABAABABBAABAAABBBAABAB
1000110001101100010 AABAABBABABABBBBBBAAABBBABABAAABBBBABAABBBABBABBABABABAABAA
10011101001100001110101110000010001100100110101100101000110001110001111111010010111010100100010000000101001111100110010011110011010000010101100 BABBBBBABABAAABABBAAAABABBBABABBABABAAABBAAAABBABAAABBABBAABBBBABBABBAABBBBBBAABAABABAAAABBBBAAABBBAAABBBBABAAABAAABAABBBBBABBAAABABABBBBABABBAABABABAAABABBABAABBAAAAAAABBBABBBBA
01 BBBBBAAAAAAA
0110101001000100100000001011001110101000000010000010010111010101001100100010001100100011111101111101110010000 AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBAAAAAAAAAAAAAAAAAAAAAAAAAABBBAAAAABBBBBBBBAAABBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBAAAAAAAAAAAAAAAAAAAABAAAAABBBBBBABAAAABBAAAAABAAAAABBAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAAAAAAABBBBAAAAAAAAAAAAAAAAABBBBBBBBBBBBAAAAAAAAAAAAAAAAABAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAA
00000101001011100010011111001010110010001000010010000111001010010101110 AABBABBBBBBAAABAAABABBABAABAAABABBABBAAABBBABBBAABAAABBABBABBBBABABAABB
1111011000101001011010101001111100101000010110011000010 ABBBBAAAABBBBBBAAABBBBBBBABABABAABBABBAAABBBAAABBBBBAAA
101111010110001011100000010110101011001000101101001011010011101110000111000011101000100010110110010110001110100 AAAAAAAAAAAAAAAAABBBBBAAAAAAAAAAAAAAAABBBBBAAAAABBBBABBBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBAABBBBBBBBAAAAAABBBBBAAABBBBAAABBBBBBBBAAAAAAAABAAAAAAAAAAABBBBBBAAAAABBBBBBAAAAAAAAAAAAAAAAAABBBAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAAAAAAAAAAAAAAAAABBBAAAAAAAAAAAAAAAABBBBBBBBAAAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBBBAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAABBBBBAAAAAABBAAAAAABBBBBAAAAAA
10110010010001001010011001111101010110011100101111101100110110111000111100110110001110101011110111110011010010110110101100110010011100100111001 AAAAABBBBBAAAAAAAAAABBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBAAAAAAAAAAAAAAAAAAAAAABBBBBAAAAAAAAAAAABBBBBBAAAAAAAAAAABBBBBAAABBBABBBBBBBBBAAAAAAABAAAABBBAAAAAAABBBBAAAAAAABBBBBBBBBBBBBBBAAAAAAAAAAAAAAAAAAAAAAAABBBAAAAAAAAAAABBBAAAAAAAABBBBBBAAAAAAAAAAAAAABBBBBBABBBBAAAAAAAABBBBBBBBBBBAAAAABAAAAAAAAAAAAAAAAAAAABBBBAAABAAAAAABAAAAABBBBBBBBBAAAAAAAAAAABBAAAAAAAAABBBBBBAAAABBAAAAAAAAAAAAAAAAAAAAABAAABBBBBBBBBBBBAAAAAABBAAAAAABBBBAAAAAAAAAAAAAAAAABBBAAAAAAAAAAABAAAAAABBAAAAAAAAAAAAAABBBAAAAAAAAABBBBBBBBBBAAAAAAAAAAAA
100000111001110111100110101110100111101000001011110010011100110001100110111001010110101001111101010 AABAAABABBBABBABBBBAAABABBAABAABABBABBABABABBBBABBABAABAABBBAABAAAABBABBABBBABAAAAABBBBABBAABBBAAAA
101101001111010011100110000010100100111010100110011111101111 AAABBAAAABABBAAAAABBBBAAAAABBBBABABBABBABAAABAABAAABBBBAABBA
001110010011010111111 BAAAAABBAAABAABBBBBAAABBAAABAAAABAAAABABBBAABBBABAABBABAABABABAABAABBBBBBBBBBAABBAB
11111000101100000011110001110010000100111101010 BBBBBBBBBBAAABBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBAAAAAAAAAAABBBBBBBAAABBBAAAAAAAAAAAABBBBAAAAAAABAAAAAAAAAAAAAAAABBBBBBAAAAAA
10101 BBABB
0000 AAA
1001101100000010111000001100001101101001001100001101010001100000111000001011011100101111110100100010110001111000000000111101101100100000100010010 AABBAABBABBABBBAABAABABBBABBBBBAAABAAAAAAABBAAABBBABBAABABBABBBABBAABAAABAAAAAABBAAAAAABAAABBAABABABAAABABBBAAABBBAABBBBBABBBBAAAABAAAABABABBBBBABBBBBAAABBABBABBAAABBABABBABAABAABBBABBBBABABAAABAABAB
01000000100010000101011000110100011101011100111111110110001000011011110010101100111010110010101101100110010010101000111 AAABBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAAAAAAAAAAAAABBBBAABAAAAAAAAABBABAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAABAAAAAAAAAAAAAABBBBBBBBBBBBAAAAAAAAAABBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBBBBBAABBBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBAAAABBBBBAAAAAABAAAAAAAAAAAAAAAAABAAABBBBBBAAAAAABBBAAABBBBBAABAAAAAAAAAABBBBBBBBBB
0001101110000100110110001011110101100111100100100010010111110111100101010101010011111011100111000110110001001010000101110101 BBAABBABBBBAABAABBAABBABBBABBAABABABBBAAAAABBBAABBBAAAABAABBBBAABBBAAAABBABABAAABBABABBABBBBBBABAABAABABABAAABBBABAAABBAAAAB
00001110011011011100100101010000000011010111100011001010 BBBABABABBBABABABAAABAAAAAABBABBABAABBABBBABBABAAABAABBBAABBABBABBBAABABBBAAAABBAABAAAAABBBAABABABAAAABAABAABBBBABABAAAABBAAA
10001010010110100001000101010000 AAAAAAAAAAAAAAAAAAABBBBAAAAAAABBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAA
11010101110110100101010000101111000 BBBBBAAAAAAAAAAAAAAAABBBBBBAAAAAAAABBBAAABBBBBAAAAAAAAAAABBBBAABBBAAABBAAAAAAAAAAAAAAAAABBBBBBAAAAAAABBBBBBBBBBBBAAAAAAAAAAAAA
00100001100000001100111010010110000100010001000010111110101000000000111110000001000011 AAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAAAAAAAAAAAAAAAAAABBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBAAAAAAAAAAAAAABBBBAAAAAABBBBBBBAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBBBBBBBBBAABBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBAA
